"GEO_ID","NAME","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C02_001M","S1901_C02_001E","S1901_C01_001M","S1901_C01_001E","S1901_C02_002E","S1901_C02_002M","S1901_C01_002M","S1901_C01_002E","S1901_C04_002M","S1901_C04_002E","S1901_C03_002M","S1901_C03_002E","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C04_003E","S1901_C04_003M","S1901_C03_003M","S1901_C03_003E","S1901_C04_004E","S1901_C04_004M","S1901_C03_004M","S1901_C03_004E","S1901_C02_004M","S1901_C02_004E","S1901_C01_004M","S1901_C01_004E","S1901_C04_005E","S1901_C04_005M","S1901_C03_005M","S1901_C03_005E","S1901_C02_005M","S1901_C02_005E","S1901_C01_005M","S1901_C01_005E","S1901_C04_006E","S1901_C04_006M","S1901_C03_006M","S1901_C03_006E","S1901_C02_006M","S1901_C02_006E","S1901_C01_006M","S1901_C01_006E","S1901_C01_007E","S1901_C01_007M","S1901_C04_007M","S1901_C04_007E","S1901_C03_007M","S1901_C03_007E","S1901_C02_007M","S1901_C02_007E","S1901_C01_008E","S1901_C01_008M","S1901_C04_008E","S1901_C04_008M","S1901_C03_008M","S1901_C03_008E","S1901_C02_008M","S1901_C02_008E","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C01_010E","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C02_011E","S1901_C02_011M","S1901_C01_011M","S1901_C01_011E","S1901_C04_011M","S1901_C04_011E","S1901_C03_011M","S1901_C03_011E","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C04_012E","S1901_C04_012M","S1901_C03_012M","S1901_C03_012E","S1901_C02_013M","S1901_C02_013E","S1901_C01_013M","S1901_C01_013E","S1901_C03_013E","S1901_C03_013M","S1901_C04_013M","S1901_C04_013E","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C04_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C02_015E","S1901_C02_015M","S1901_C01_015M","S1901_C01_015E","S1901_C04_015M","S1901_C04_015E","S1901_C03_015M","S1901_C03_015E","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$150,000 to $199,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!Mean income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1600000US0107000","Birmingham city, Alabama","21250","2130","38478","2757","2183","48750","2521","87228","14.0","2.9","2.3","17.2","3.4","21.5","1.8","2.9","9.6","1.5","5.2","1.8","15.5","2.7","2.4","3.4","17.1","3.0","2.7","8.6","2.3","15.2","1.7","16.1","10.6","2.4","3.7","14.2","2.7","15.6","1.9","13.3","16.3","3.1","4.6","18.2","2.8","16.8","1.9","16.5","15.1","2.1","2.9","11.1","4.6","23.9","3.0","17.7","4.3","1.0","2.8","1.3","2.9","9.8","1.5","5.4","4.7","1.1","5.6","1.7","10.8","3.4","3.4","1.4","0.7","2.1","1.1","1.6","3.9","2.1","0.8","0.7","2.3","1.2","0.7","1.7","0.6","0.8","2.1","4.4","30212","1684","34971","2953","22306","1937","3260","51378","4071","48425","2749","42347","70272","6939","3863","34032","30.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.5","(X)",
"1600000US0121184","Dothan city, Alabama","11614","840","8333","829","921","17507","1012","25840","7.9","1.9","1.7","11.7","3.7","20.9","1.0","2.0","6.3","1.4","4.0","1.5","11.5","2.8","1.1","1.5","19.4","3.7","2.1","5.9","2.4","11.3","1.8","13.5","13.5","3.4","2.1","8.7","2.3","10.2","2.0","11.4","17.9","4.2","3.1","17.6","2.8","19.0","2.1","18.4","17.0","2.0","3.3","11.5","3.3","23.7","2.4","18.8","9.2","1.8","1.9","1.3","3.4","17.0","2.4","12.2","8.2","1.5","10.9","2.1","14.9","3.0","2.4","1.4","0.7","2.7","0.9","2.1","3.9","1.4","0.9","0.9","3.0","1.1","0.8","2.1","0.4","0.3","1.7","4.6","39806","2577","47928","3191","23954","2729","3514","62848","4307","63557","3186","53714","N","N","2803","31505","29.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.3","(X)",
"1600000US0135896","Hoover city, Alabama","N","N","9253","1609","1453","21027","1881","30280","2.5","2.1","2.1","3.6","4.4","6.2","N","N","1.1","1.0","0.8","1.2","2.0","2.0","N","N","17.2","7.0","N","N","3.3","5.3","3.2","8.9","17.7","8.3","N","N","2.9","5.6","3.5","9.2","17.9","7.0","N","N","4.0","13.0","3.4","14.7","15.3","3.2","5.8","16.6","N","N","3.7","14.7","12.3","3.0","7.9","4.5","N","N","3.9","14.3","16.3","3.2","19.4","4.3","N","N","9.7","5.2","3.0","16.7","3.9","12.9","N","N","3.7","3.6","7.8","2.6","1.9","5.7","1.7","1.0","N","N","69359","7066","86451","6118","41303","7320","11319","96513","6340","101440","4844","86731","N","N","7715","52833","18.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.6","(X)",
"1600000US0137000","Huntsville city, Alabama","30732","2104","31940","2684","1917","42901","2444","74841","8.3","2.4","2.0","11.7","3.8","18.1","0.8","1.5","6.2","1.6","3.0","1.4","11.3","3.2","1.3","1.8","16.6","3.5","1.4","2.9","2.0","7.0","1.9","11.0","14.4","3.0","2.6","9.0","2.3","10.9","1.9","12.6","13.4","3.0","2.3","10.4","1.9","11.0","1.7","12.4","16.1","2.0","3.0","12.8","3.3","20.2","2.8","18.0","9.6","1.7","6.8","2.3","2.8","14.8","2.0","11.9","11.5","1.8","16.9","3.0","21.8","3.7","4.0","1.7","1.1","7.4","1.9","4.7","9.8","2.6","1.1","0.8","5.7","1.7","1.2","4.0","1.3","1.5","2.4","7.7","44419","4013","61451","4874","27294","3673","6644","80747","4964","82331","3846","65900","N","N","5049","42161","31.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.1","(X)",
"1600000US0150000","Mobile city, Alabama","24684","1769","31700","2635","2060","43628","2724","75328","11.8","3.0","2.3","14.3","4.0","18.2","2.0","4.1","6.9","1.4","4.4","1.5","11.2","2.7","1.5","2.1","16.4","3.5","2.5","7.1","2.5","12.2","2.1","13.8","15.6","3.3","2.7","8.0","2.5","10.3","1.9","12.2","13.0","3.1","3.4","16.6","2.7","16.0","2.1","15.1","17.6","2.4","3.5","16.3","3.9","19.7","3.0","17.9","6.0","1.4","2.5","1.4","3.0","13.0","1.7","8.2","7.4","1.2","10.6","1.9","16.6","3.2","3.5","1.5","1.1","4.0","1.5","3.3","5.0","1.6","1.9","1.3","4.6","1.4","0.9","3.4","1.1","1.5","2.4","7.9","37438","2401","46952","4737","26948","3442","7754","62810","5353","66429","3971","55727","N","N","4678","39249","23.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.1","(X)",
"1600000US0151000","Montgomery city, Alabama","29394","2243","29037","2440","2703","50998","2462","80035","7.8","2.2","1.8","9.8","3.1","14.2","1.5","2.0","8.6","1.8","5.9","2.1","13.4","3.1","1.3","1.2","19.3","4.3","1.5","2.7","2.6","10.2","2.0","12.4","15.4","3.5","1.9","5.0","1.5","7.4","1.9","11.1","19.6","4.5","3.6","14.0","2.8","15.3","2.4","16.8","15.0","2.1","3.1","10.4","3.7","19.7","2.7","17.1","10.3","1.6","4.5","2.0","3.5","18.8","2.5","13.3","10.3","1.4","14.3","2.4","21.9","3.8","2.7","1.2","1.1","5.4","1.7","3.5","9.2","2.8","0.2","0.3","3.3","1.3","0.8","2.2","0.5","0.3","2.1","5.5","41380","1750","53125","4689","26695","3466","5446","80662","5102","71013","3449","58057","N","N","2662","33273","27.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.3","(X)",
"1600000US0177256","Tuscaloosa city, Alabama","N","N","14162","2140","1354","17665","2242","31827","6.2","3.2","2.9","12.7","5.4","22.5","N","N","7.9","2.7","8.2","4.3","8.8","3.6","N","N","23.0","6.2","N","N","3.7","8.6","3.5","16.2","17.2","4.4","N","N","3.2","9.4","2.7","12.4","11.7","4.3","N","N","5.0","14.3","3.1","13.3","14.4","3.3","4.0","9.9","N","N","4.4","16.9","8.7","2.7","3.4","2.2","N","N","4.6","12.9","7.5","2.2","12.0","3.4","N","N","2.0","1.4","1.5","6.3","2.8","3.7","N","N","0.5","0.8","5.1","2.0","1.3","3.3","1.2","1.0","N","N","35838","4414","52438","7694","22323","2520","16190","78301","12483","79636","7068","58819","N","N","5005","31796","28.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.0","(X)",
"1600000US0203000","Anchorage municipality, Alaska","52204","2940","34906","2834","2693","70087","2002","104993","3.4","1.1","1.0","3.6","2.0","5.6","0.9","1.1","4.2","1.0","2.6","0.8","7.9","2.6","0.7","0.9","11.4","3.1","0.8","1.7","1.5","5.4","1.4","7.1","12.1","3.2","1.6","4.6","1.5","6.3","1.5","8.4","13.3","3.1","1.5","6.1","1.5","7.5","1.4","9.3","19.0","1.9","3.5","20.5","2.8","18.4","2.4","18.1","14.1","1.8","11.7","3.1","2.4","16.2","2.2","15.2","18.7","1.7","20.7","2.2","24.7","2.9","12.9","3.2","1.4","10.1","1.9","7.7","13.3","2.6","3.0","1.2","10.7","2.0","1.4","7.8","1.0","1.7","2.5","13.1","72128","3531","85829","6993","49671","4887","6328","101278","5734","105337","4360","91772","N","N","4106","60677","22.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.4","(X)",
"1600000US0404720","Avondale city, Arizona","N","N","3467","1132","1047","17795","1195","21262","5.7","3.4","2.8","5.0","6.1","7.3","N","N","7.4","3.2","7.4","3.6","5.5","6.7","N","N","10.6","9.2","N","N","1.0","1.6","1.7","3.1","3.1","4.1","N","N","4.4","8.6","3.8","7.7","20.1","13.5","N","N","5.5","19.7","4.6","17.5","26.2","5.8","12.2","17.4","N","N","6.0","25.2","11.8","3.9","17.2","10.4","N","N","3.9","10.5","16.5","4.3","15.7","4.5","N","N","18.9","13.2","2.3","4.9","2.8","4.1","N","N","0.0","6.0","0.9","0.8","0.7","0.7","6.0","0.0","N","N","61369","3206","60219","7061","57152","24705","6023","64576","5366","65793","4752","66387","N","N","10946","61016","34.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.6","(X)",
