"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1600000US0103076","Auburn city, Alabama","26156","2687","14.9","4.7","10.4","4.3","10.5","4.5","2.3","2.0","14.5","5.0","11.1","4.0","8.0","4.0","13.6","3.9","6.7","3.0","8.1","2.6","46031","8334","77791","8792","25.2","(X)","(X)","(X)","(X)","(X)","13269","1519","5.6","4.0","0.7","1.3","6.9","4.8","1.8","3.0","9.7","5.7","12.7","5.6","14.7","6.9","22.1","6.5","10.1","4.4","15.5","5.4","91250","24435","120712","15923","(X)","(X)","22.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12887","2513","25.6","9.4","20.3","8.6","14.5","7.9","2.5","2.3","18.3","7.6","9.6","5.4","1.9","2.1","4.7","4.2","2.2","3.3","0.4","0.7","18684","5406","32552","7891","(X)","(X)","(X)","(X)","27.5","(X)",
"1600000US0107000","Birmingham city, Alabama","93300","3618","16.5","2.2","6.9","1.5","12.3","2.2","12.7","1.8","14.1","2.3","14.5","2.0","7.7","1.5","8.7","1.6","3.6","1.3","3.0","1.0","36753","3232","55896","3406","43.8","(X)","(X)","(X)","(X)","(X)","46816","2960","11.1","2.6","4.7","2.1","9.6","2.8","12.3","3.2","14.1","3.2","15.4","3.0","11.7","2.6","11.9","2.6","4.9","2.0","4.3","1.6","47490","5336","68360","5732","(X)","(X)","49.4","(X)","(X)","(X)","24531","2394","2.9","1.9","0.4","0.5","5.6","2.7","8.1","3.3","15.0","5.0","19.3","4.4","16.1","4.0","16.5","4.2","9.4","3.7","6.6","2.1","72018","9420","N","N","(X)","(X)","(X)","(X)","(X)","(X)","46484","3775","22.2","3.4","9.9","2.4","15.2","3.3","13.7","3.3","13.1","3.0","13.4","2.8","4.1","1.3","4.5","1.7","2.1","1.7","1.8","1.1","26958","4855","41745","4373","(X)","(X)","(X)","(X)","37.1","(X)",
"1600000US0121184","Dothan city, Alabama","27103","1044","9.3","1.9","6.0","1.2","12.9","1.9","11.7","1.8","11.2","1.4","17.3","2.2","10.3","1.6","11.6","1.6","4.7","1.2","4.9","1.1","47411","4860","71042","4289","44.3","(X)","(X)","(X)","(X)","(X)","16607","898","4.3","1.4","4.0","1.5","11.2","2.3","10.9","2.3","9.4","2.0","18.2","3.1","11.7","2.1","16.1","2.3","6.5","1.6","7.8","1.8","62582","7091","89536","6830","(X)","(X)","46.5","(X)","(X)","(X)","11017","759","0.4","0.4","1.3","0.8","7.1","2.3","6.2","2.5","10.3","2.6","17.9","3.1","15.3","2.8","21.7","3.1","8.6","2.2","11.0","2.6","86035","6702","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10496","909","19.0","4.3","10.1","2.4","16.0","3.8","12.8","3.3","12.6","2.8","15.7","3.2","7.5","2.3","3.9","1.5","2.0","1.6","0.4","0.3","28919","3333","39807","4052","(X)","(X)","(X)","(X)","38.5","(X)",
"1600000US0135896","Hoover city, Alabama","32461","1606","2.0","1.1","1.1","0.6","4.6","2.6","8.8","2.6","7.6","2.6","14.3","3.2","13.3","3.2","18.9","3.5","12.2","2.5","17.0","3.6","98689","6257","122222","9743","34.8","(X)","(X)","(X)","(X)","(X)","23672","1193","0.7","0.6","0.6","0.7","2.2","1.9","7.9","3.1","5.4","2.5","12.3","3.6","14.1","4.3","20.7","4.2","14.2","3.3","21.9","4.9","115290","15554","140668","12532","(X)","(X)","36.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","137942","11009","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8789","1661","5.6","3.7","2.3","1.6","11.3","6.8","14.0","5.5","14.3","6.0","19.3","7.3","9.9","5.4","13.8","7.5","6.4","4.4","3.3","2.6","52392","10008","69429","11802","(X)","(X)","(X)","(X)","28.9","(X)",
"1600000US0137000","Huntsville city, Alabama","88930","2823","6.8","1.6","6.0","1.6","11.2","2.0","11.5","2.1","12.1","2.0","14.5","1.9","10.5","2.1","14.2","1.9","7.0","1.5","6.1","1.4","54342","4497","76947","4058","28.2","(X)","(X)","(X)","(X)","(X)","52166","2997","5.7","2.1","2.6","1.3","9.8","2.4","10.5","2.7","10.1","2.9","12.5","2.2","11.3","3.2","17.7","3.1","10.1","2.2","9.8","2.5","72343","7516","95632","6942","(X)","(X)","28.7","(X)","(X)","(X)","35403","2908","0.9","0.7","0.9","0.5","4.3","1.7","5.9","2.8","7.8","2.7","14.9","3.1","13.3","4.4","24.5","4.2","14.1","3.3","13.4","3.3","103430","9086","121927","7693","(X)","(X)","(X)","(X)","(X)","(X)","36764","2792","10.3","2.8","10.4","3.4","14.8","3.5","12.1","2.8","15.3","3.1","16.7","3.5","8.7","2.3","9.2","2.2","1.7","0.9","0.7","0.5","37111","5014","47604","2885","(X)","(X)","(X)","(X)","26.9","(X)",
"1600000US0150000","Mobile city, Alabama","77628","2367","9.5","1.8","5.1","1.4","13.0","2.1","11.5","1.6","14.0","2.3","20.1","2.4","9.7","1.9","9.5","1.5","3.8","0.9","3.9","1.0","46788","2777","63418","3509","39.4","(X)","(X)","(X)","(X)","(X)","41260","2144","4.3","1.6","2.4","1.3","9.3","2.7","9.8","2.5","15.0","3.1","21.8","3.7","13.1","2.8","12.2","2.4","6.1","1.5","6.0","1.7","59629","3293","79908","5260","(X)","(X)","34.3","(X)","(X)","(X)","26133","1960","0.5","0.4","0.2","0.2","4.5","2.2","6.8","2.5","13.3","3.9","24.7","5.2","15.9","3.7","17.1","3.5","8.2","1.9","9.0","2.7","75351","8211","N","N","(X)","(X)","(X)","(X)","(X)","(X)","36368","2672","15.9","3.7","8.1","2.6","18.3","3.3","13.2","2.8","13.3","3.3","17.5","3.1","5.5","2.3","5.8","2.1","0.7","0.5","1.6","1.3","31197","1763","43211","4408","(X)","(X)","(X)","(X)","44.7","(X)",
"1600000US0151000","Montgomery city, Alabama","78225","2045","8.8","2.0","4.1","1.1","9.4","1.9","10.6","2.0","16.0","2.3","20.7","3.2","10.3","1.9","12.0","2.0","4.3","1.2","3.8","1.0","51074","2844","67998","3792","34.8","(X)","(X)","(X)","(X)","(X)","45031","2551","5.8","2.0","1.4","0.7","8.4","2.4","8.9","2.7","13.7","2.9","20.5","3.8","12.6","2.7","16.2","2.7","6.4","1.9","6.1","1.7","61846","4889","84048","6645","(X)","(X)","37.6","(X)","(X)","(X)","25893","2428","1.2","1.0","0.6","0.6","3.4","1.7","3.8","1.5","8.2","2.7","21.9","5.0","17.4","4.4","24.6","4.2","9.8","3.1","9.3","2.6","87691","7307","N","N","(X)","(X)","(X)","(X)","(X)","(X)","33194","3013","13.5","3.4","7.8","2.5","12.1","3.2","12.3","3.0","20.0","4.6","19.0","4.0","6.9","2.1","6.1","2.7","1.7","1.3","0.7","0.6","38076","3224","44632","3781","(X)","(X)","(X)","(X)","28.9","(X)",
"1600000US0177256","Tuscaloosa city, Alabama","36779","2172","12.5","3.4","5.1","2.4","11.8","4.2","12.2","3.9","13.6","4.0","14.7","3.6","6.0","2.0","11.2","3.1","5.5","1.9","7.4","2.3","40934","4964","73073","6207","53.3","(X)","(X)","(X)","(X)","(X)","20176","1917","5.9","3.1","3.7","3.1","4.7","3.3","16.2","5.6","10.8","4.7","14.7","5.0","8.2","3.2","16.4","5.0","7.6","3.3","11.7","4.2","63012","9325","96089","9709","(X)","(X)","58.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","102622","12845","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16603","1906","20.5","6.1","6.9","3.3","20.5","8.2","10.6","5.2","17.0","6.0","12.4","5.5","3.7","2.4","4.9","3.3","1.5","1.3","2.1","2.2","27649","7831","42611","9527","(X)","(X)","(X)","(X)","47.5","(X)",
"1600000US0203000","Anchorage municipality, Alaska","105198","2489","3.8","1.2","2.7","1.0","4.6","1.2","6.6","1.6","10.1","1.8","17.6","2.3","13.1","1.7","20.4","2.2","10.8","1.5","10.2","1.7","82716","3743","109042","5965","31.4","(X)","(X)","(X)","(X)","(X)","64798","2694","1.6","0.9","2.0","1.1","2.1","1.1","4.9","1.9","8.0","2.0","16.4","2.9","12.2","1.9","23.2","3.0","14.9","2.3","14.7","2.6","104660","4635","131599","9455","(X)","(X)","32.0","(X)","(X)","(X)","49631","2967","0.3","0.3","1.6","1.3","0.9","0.7","2.7","1.3","6.4","2.3","14.0","2.8","12.1","2.4","25.1","3.5","19.1","3.0","17.8","3.0","119351","7640","N","N","(X)","(X)","(X)","(X)","(X)","(X)","40400","2524","7.7","2.5","4.0","1.9","9.2","2.4","9.5","2.8","14.9","3.5","19.9","3.5","14.2","3.0","14.5","3.3","3.2","1.7","2.8","1.0","54962","5281","68771","5264","(X)","(X)","(X)","(X)","28.8","(X)",
